id,name,geoJsonValue,type,centroid_longitude,centroid_latitude,population,population_percentile
geo134,Amsterdam,NLD.9.4_1,district,4.892447462821398,52.37244445914028,816726,0.28169014084507044
geo143,Rotterdam,NLD.14.67_2,district,4.310505524727624,51.92587705705543,634157,0.5633802816901409
geo0,s-Gravenhage,NLD.14.2_1,district,4.301454128349114,52.068225149909416,511149,0.8450704225352111
geo194,Utrecht,NLD.11.27_1,district,5.078988909823242,52.09130042469896,331355,1.1267605633802817
geo283,Groningen,NLD.5.7_2,district,6.62980258491797,53.218485348788136,229977,1.4084507042253522
geo47,Eindhoven,NLD.8.21_1,district,5.464640102433497,51.45137528055433,222546,1.6901408450704223
geo95,Tilburg,NLD.8.58_1,district,5.082041433550788,51.58403547370322,214981,1.971830985915493
geo197,Almere,NLD.2.1_1,district,5.251262167458622,52.36706071918396,199756,2.2535211267605635
geo124,Breda,NLD.8.14_1,district,4.764832193953643,51.58555718378345,183674,2.535211267605634
geo290,Nijmegen,NLD.4.44_1,district,5.844016379585289,51.83959377504667,168525,2.8169014084507045
geo228,Apeldoorn,NLD.4.3_1,district,5.929273651265293,52.19043591529753,162903,3.0985915492957745
geo263,Enschede,NLD.10.7_1,district,6.886608546629243,52.22271471071082,161832,3.3802816901408446
geo50,Haarlem,NLD.9.21_1,district,4.649587085090897,52.3832022887026,158335,3.6619718309859155
geo30,Arnhem,NLD.4.4_1,district,5.900045438846978,52.001889190567255,155018,3.943661971830986
geo334,Haarlemmermeer,NLD.9.23_2,district,4.688992854655011,52.30769962751111,154476,4.225352112676056
geo160,s-Hertogenbosch,NLD.8.1_1,district,5.35579804112028,51.71735979824416,154173,4.507042253521127
geo226,Amersfoort,NLD.11.3_1,district,5.389877037459765,52.17393445768363,153971,4.788732394366197
geo155,Zaanstad,NLD.9.62_1,district,4.775564747434197,52.46264874269646,153950,5.070422535211268
geo100,Zoetermeer,NLD.14.89_1,district,4.491454226191052,52.06086323473534,126478,5.352112676056338
geo48,Zwolle,NLD.10.26_1,district,6.126030408817651,52.518790282412525,125751,5.633802816901409
