id,type,latitude,longitude,name,capacity
hospital0,hospital,51.91201404544873,4.46999457354741,Erasmus MC - Sophia,0
hospital1,hospital,51.949350394944844,5.884648521457621,Ziekenhuis Rijnstate Arnhem-Zuid,0
hospital2,hospital,51.6564963372509,3.928671150034262,Admiraal De Ruyter,0
hospital3,hospital,52.23269116017491,5.170374668061839,Hospice Kajan,0
hospital4,hospital,51.25464577088823,5.71325109059498,Sint Jans Gasthuis,0
hospital5,hospital,51.59400463904561,5.320951283803396,"Jeroen Bosch, locatie Liduina",0
hospital6,hospital,52.746224551354345,4.907485159841912,Huisartsenprackijk,0
hospital7,hospital,52.08009048245498,4.891890126073406,Sint Antonius Woerden,0
hospital8,hospital,51.915786069514866,4.480151428536971,Het Ooghuis,0
hospital9,hospital,51.91503144677216,4.480032740788033,Het Oogziekenhuis,0
hospital10,hospital,51.954381632324726,6.301253081424363,Slingeland Ziekenhuis Locatie Gezellenlaan,0
hospital11,hospital,52.00137996924701,5.90816805794347,Radiotherapiegroep,0
hospital12,hospital,51.71364465600212,5.370333769264334,Polikliniek Jeroen Bosch Ziekenhuis,0
hospital13,hospital,51.81200494863879,4.673460998313857,APZ Het Kasperspad,0
hospital14,hospital,51.79150583096151,4.680168783966536,DG&J-ZHZ,0
hospital15,hospital,51.924795358140926,4.515638478735895,Polikliniek Kralingen,0
hospital16,hospital,51.48668124206935,4.314665418706483,Bravis Ziekenhuis - locatie Bergen op Zoom,0
hospital17,hospital,51.64836362805872,4.871780180160471,Hans Berger kliniek Epileptologie,0
hospital18,hospital,51.41985132223854,5.558558541300073,St. Anna Ziekenhuis,0
hospital19,hospital,52.30588478853309,5.609534175097195,GGZ Centraal / Fornhese,0
hospital20,hospital,51.68599032668075,5.053335639479087,Tweesteden Ziekenhuis Waalwijk,0
hospital21,hospital,52.1428838453555,4.661398852913948,Alrijne Ziekenhuis Alphen aan den Rijn,0
hospital22,hospital,52.45330142677824,4.825688429885446,Zaans Medisch Centrum,0
hospital23,hospital,51.881611541533886,5.519073490925422,de Waterpoort,0
hospital24,hospital,51.888013722996845,5.615047874823773,Polikliniek CWZ Druten,0
hospital25,hospital,52.08916783213482,5.180336895259671,Wilhelmina Kinderziekenhuis (WKZ),0
hospital26,hospital,12.113557689455092,-68.95522585316158,FKA (Fundashon Kuido di Ambulans),0
hospital27,hospital,52.068889326149076,4.499596270433074,LangeLand Ziekenhuis,0
hospital28,hospital,51.88199057119539,5.845307891274672,Polikliniek CWZ de Waalsprong,0
hospital29,hospital,12.115212528598619,-68.9487620647103,MedIcal Center Family Physicians,0
hospital30,hospital,51.99773375754751,5.911529787849275,Pro Persona GGZ,0
hospital31,hospital,52.08458645149824,5.124911895800949,Willem Arntsz Huis,0
